category,category_slug,product_code,dimension,profile,color,price,brochure_url,colors_note,warranty_note,description,remarks,first_image,image_count,url
MAXIS FLOOR,maxis-floor,WSPC #7,8.2 x 190 x 1900mm,,Dark Oak,,,,,"Maxis Floor ""Engineered wood SPC flooring (Hardwood SPC/WSPC/engineered wood flooring) is now recognized as real wood flooring by the National Wood Flooring Association (NWFA). It is an innovative product that offers many advantages, and customers will appreciate its performance."" UNICLIC Patented Technology ""MAXIS FLOOR uses a click-locking installation system that provides a strong yet simple method for floating floor installation. The boards easily and securely lock together, making the installation process simple and efficient."" Previous Next","Prices are subject to change based on materials costs and due to currency fluctuation. Shades may differ with each production lot, ordering sufficient quantities is recommended. Colors samples are close to the real material. Actual products may differ in color and pattern.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,12,https://www.maxiswood.com/MAXIS%20FLOOR/667395c3094fe70013e5638e/langEN
MAXIS DOOR,maxis-door,,,,,,,,,"Maxis Door Interior WPC (Wood Plastic Composite) Doors WPC doors, or wood plastic composite doors, are expertly crafted to meet the demands of Thailand’s climate. They offer the following impressive features: Strength and Durability: Designed for exceptional strength, WPC doors are resilient to diverse weather conditions. They can support door thicknesses up to 35 mm, ensuring long-lasting performance. Easy Installation: These doors are straightforward to install with standard woodworking tools, such as saws, planes, cutters, and drills, just like real wood. They also accommodate convenient screw fastening. High Performance: WPC doors are highly durable, resistant to fire, warping, and require minimal maintenance. They are immune to moisture-related decay and provide protection against termites and other pests. Quality Finishing: WPC doors can be painted with industrial-grade spray paints, offering a beautiful and durable finish. With these qualities, WPC doors are an excellent choice for environments with high humidity, offering enduring resilience and aesthetic appeal. Previous Next",,https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,9,https://www.maxiswood.com/MAXIS%20DOOR/667395c7094fe70013e5639c/langEN
MAXIS FIBRE REBAR,maxis-fibre-rebar,,,,,,,,,"Glass Fibre Rebar History Since ancient times, humans have understood the concept that a composite material is stronger than its individual components. For instance, combining clay with straw proved stronger than clay alone, with straw acting as fibrous reinforcement and clay as the matrix. The use of glass fiber reinforced polyester composites began in the 1940s in the aircraft industry. It later expanded to non-military applications, notably transforming boat construction in the marine sector. Product Information Glass Fiber Reinforced Polymers (GFRP) represent a proven and highly effective alternative to traditional reinforcement methods, offering numerous",,https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,9,https://www.maxiswood.com/MAXIS%20FIBRE%20REBAR/667395cd094fe70013e563ad/langEN
RECYCOEX PAVE,recycoex-pave,CX-002,15 x 100,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-002 EX,20 x 100,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-001,20 x 125,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-160,20 x 160,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-006,35 x 200,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-009,38 x 200,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-4747,47 x 47,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-2525,25 x 25,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-2550,25 x 50,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-2575,25 x 75,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-35100,35 x 100,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-50100,50 x 100,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,CX-5050,50 x 50,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
RECYCOEX PAVE,recycoex-pave,LV-25100,25 x 100,,,,,available in 9 colors,10 years warranty,"RECYCOEX - from WASTE to WOW! RECYCOEX is a distinguished product from Maxiswood that utilizes recycled plastic waste as its primary material. We are proud to introduce the first ONLINE PLATFORM for RECYCLABLE WASTE COLLECTION in Thailand. Our team advocates for efficient and impactful methods of collecting plastic waste and other recyclable materials from every corner. We prioritize 100% transparency and traceability, ensuring open communication channels throughout every transaction. For more info visit www.recycoex.com Previous Next Wall Cladding","All products are made-to-order with a minimum order of 300 meters or 50 sqm & up. Cutting lengths = 1.00 to 5.80 meters. Prices are subject to change based on materials costs and due to currency fluctuation. The above prices do not include VAT, installation, installation equipment, structure, etc... The above prices do not include anti-UV coating for exterior use. Shades may differ with each production lot, ordering sufficient quantities is recommended. Additional 25,000 baht for customized color. 10 years warranty under the company's terms and condition.",https://itp1.itopfile.com/ImageServer/z_itp_19042023ft59/0/0/Artboard4@2xz-z966313730030.webp,24,https://www.maxiswood.com/RECYCOEX%20PAVE/667395d2094fe70013e563bc/langEN
